Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
League Averages,,,,,,,,,,115.7,,54.3%,,15.0%,,29.4%,,22.7,,115.7,,54.3%,,15.0%,,29.4%,,22.7
UTA,Keyonte George,Sviatoslav Mykhailiuk,Lauri Markkanen,Kyle Filipowski,Walker Kessler,101,100,+34.7,100,139.6,83,62.9%,3,19.8%,100,51.1%,76,25.8,76,105.0,69,52.1%,97,19.8%,3,39.2%,100,8.4
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,93,+28.3,97,132.4,93,63.7%,97,9.2%,24,23.6%,41,19.1,83,104.0,90,48.5%,86,17.2%,28,32.0%,66,14.8
PHX,Devin Booker,Grayson Allen,Dillon Brooks,Royce O'Neale,Mark Williams,110,59,+10.5,93,131.8,76,60.2%,24,17.3%,90,37.0%,100,35.5,28,121.3,14,61.0%,76,16.7%,21,33.3%,90,10.0
MIN,Mike Conley,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,137,90,+22.0,90,129.2,97,64.4%,34,16.1%,21,23.2%,93,30.6,69,107.2,72,51.7%,31,12.2%,90,20.0%,34,21.8
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,66,+11.5,86,127.9,90,63.4%,48,14.7%,62,30.6%,72,25.5,38,116.4,41,55.8%,72,16.4%,10,35.7%,86,10.6
OKC,Shai Gilgeous-Alexander,Ajay Mitchell,Cason Wallace,Chet Holmgren,Isaiah Hartenstein,101,97,+30.7,83,125.7,86,63.2%,28,16.8%,72,31.6%,45,19.5,100,95.0,93,47.6%,24,11.9%,100,9.4%,59,17.6
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,76,+13.1,79,124.1,45,56.5%,79,12.0%,45,28.2%,90,28.1,55,111.0,79,50.3%,45,13.4%,38,30.6%,41,19.9
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,83,+18.6,76,123.6,66,58.6%,45,15.6%,59,29.8%,97,32.8,79,104.9,83,49.7%,62,15.2%,76,24.8%,10,27.7
GSW,Stephen Curry,Brandin Podziemski,Jimmy Butler,Jonathan Kuminga,Draymond Green,137,86,+19.8,72,123.4,55,57.9%,83,11.7%,7,20.9%,79,25.8,90,103.6,31,57.1%,90,18.7%,97,16.1%,21,23.8
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,72,+13.1,69,121.6,38,55.4%,66,13.6%,69,31.1%,62,23.8,66,108.5,66,52.5%,38,12.5%,79,21.0%,38,20.0
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,34,-2.5,66,120.7,41,56.0%,69,13.3%,76,33.0%,55,21.9,21,123.2,7,61.5%,79,16.7%,38,30.6%,17,24.7
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,31,-3.7,62,120.1,62,58.2%,86,11.1%,3,20.3%,3,12.7,17,123.8,55,53.6%,41,12.9%,0,40.7%,76,13.2
LAC,James Harden,Bradley Beal,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac,130,14,-12.8,59,120.0,100,65.7%,17,18.5%,28,24.5%,7,13.0,3,132.8,10,61.2%,21,11.7%,14,34.8%,72,13.6
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,52,+3.6,55,119.1,48,57.0%,0,21.7%,86,35.3%,86,27.3,45,115.4,62,52.5%,55,14.2%,17,34.1%,7,28.6
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,55,+7.6,52,118.5,21,52.0%,72,12.9%,93,38.9%,17,15.9,59,110.9,59,53.1%,83,16.9%,45,30.0%,28,22.0
CHA,LaMelo Ball,Collin Sexton,Kon Knueppel,Miles Bridges,Ryan Kalkbrenner,103,41,+0.3,48,117.5,59,58.1%,100,8.7%,10,20.9%,66,24.4,34,117.2,28,58.1%,28,12.1%,83,20.8%,97,8.6
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,28,-4.9,45,116.6,72,59.7%,41,15.6%,34,25.5%,52,19.8,24,121.5,48,54.6%,17,11.4%,24,32.0%,14,25.2
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,69,+12.2,41,116.1,79,61.3%,7,19.5%,55,29.5%,69,24.7,86,103.9,86,49.0%,59,14.8%,72,25.6%,55,17.8
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,79,+18.5,38,115.2,34,55.0%,93,10.6%,0,18.4%,14,15.1,97,96.8,97,46.8%,93,18.8%,69,25.8%,69,13.7
NYK,Jalen Brunson,Landry Shamet,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,113,38,0.0,34,115.0,3,49.6%,59,14.2%,79,34.4%,28,17.0,48,115.0,34,56.6%,34,12.4%,55,28.6%,93,9.4
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,21,-11.0,31,114.8,52,57.4%,76,12.9%,38,26.0%,21,16.2,10,125.8,17,61.0%,14,11.3%,83,20.8%,31,22.0
BKN,Ben Saraf,Cameron Thomas,Terance Mann,Michael Porter,Nicolas Claxton,111,3,-21.6,28,114.4,69,59.0%,55,14.4%,17,22.0%,0,9.0,0,136.0,0,63.5%,66,15.3%,7,37.5%,48,18.3
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,45,+2.6,24,113.4,31,54.3%,21,17.4%,83,35.2%,34,18.6,62,110.8,45,54.9%,69,16.0%,62,27.1%,45,19.1
MIA,Dru Smith,Andrew Wiggins,Jaime Jaquez Jr.,Nikola Jovic,Simone Fontecchio,107,62,+11.2,21,110.3,14,51.1%,31,16.8%,48,29.1%,83,26.9,93,99.1,100,42.0%,48,13.8%,34,31.4%,52,17.9
LAL,Luka Doncic,Austin Reaves,Marcus Smart,Rui Hachimura,Deandre Ayton,101,48,+2.8,17,109.9,17,51.6%,38,15.8%,52,29.4%,38,18.7,72,107.1,38,56.1%,100,20.2%,59,28.3%,62,17.1
DEN,Jamal Murray,Bruce Brown,Tim Hardaway Jr.,Peyton Watson,Jonas Valanciunas,137,0,-24.6,14,108.0,28,54.2%,52,14.6%,66,30.6%,24,16.9,7,132.6,3,61.9%,3,9.4%,45,30.0%,3,31.4
DET,Cade Cunningham,Ausar Thompson,Duncan Robinson,Tobias Harris,Jalen Duren,128,24,-10.4,10,107.8,7,49.6%,14,18.8%,97,39.1%,48,19.7,31,118.3,76,50.5%,10,11.1%,31,31.9%,0,34.2
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,7,-19.3,7,105.1,0,49.0%,90,10.9%,14,21.7%,59,22.1,14,124.4,21,60.5%,7,10.5%,90,20.0%,24,23.6
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,10,-13.1,3,102.5,24,54.2%,10,19.4%,31,25.0%,31,17.7,41,115.6,52,53.8%,0,8.8%,52,28.9%,83,10.8
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,17,-12.2,0,101.7,10,50.3%,62,13.7%,41,26.1%,10,14.9,52,114.0,24,58.5%,52,14.0%,66,26.2%,79,11.1