Team,PG,SG,SF,PF,C,Poss,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
League Averages,,,,,,,,115.7,,96.7,,30.0%,,78.3%,,23.8,,19.7,,117.6
DEN,Jamal Murray,Christian Braun,Cameron Johnson,Aaron Gordon,Nikola Jokic,324,69,121.6,38,98.6,76,33.9%,59,76.5%,69,29.9,66,21.7,62,135.7
MIL,Ryan Rollins,AJ Green,Gary Trent Jr.,Giannis Antetokounmpo,Myles Turner,295,45,116.6,52,103.5,7,20.2%,34,78.8%,17,13.7,7,11.8,38,116.7
POR,Jrue Holiday,Shaedon Sharpe,Toumani Camara,Deni Avdija,Donovan Clingan,247,24,113.4,10,87.6,72,33.7%,93,73.1%,79,32.3,86,25.5,48,120.0
SAS,Stephon Castle,Devin Vassell,Julian Champagnie,Harrison Barnes,Victor Wembanyama,236,41,116.1,59,104.0,66,31.9%,52,77.2%,86,33.8,62,21.1,76,156.3
ORL,Jalen Suggs,Desmond Bane,Franz Wagner,Paolo Banchero,Wendell Carter,225,76,123.6,66,106.3,34,26.0%,62,76.5%,76,31.5,34,16.2,100,191.7
TOR,Immanuel Quickley,Brandon Ingram,RJ Barrett,Scottie Barnes,Jakob Poeltl,203,66,120.7,48,103.4,59,31.3%,66,76.4%,45,23.6,83,24.7,17,89.5
HOU,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith Jr.,Alperen Sengun,190,86,127.9,86,110.1,62,31.6%,76,75.6%,55,27.4,79,24.2,34,113.3
BOS,Payton Pritchard,Derrick White,Jaylen Brown,Josh Minott,Neemias Queta,178,52,118.5,14,87.9,83,35.1%,90,73.4%,59,27.6,69,22.2,38,116.7
MEM,Ja Morant,Kentavious Caldwell-Pope,Jaylen Wells,Jaren Jackson,Jock Landale,175,0,101.7,24,92.8,38,26.1%,24,80.0%,14,13.5,21,14.7,21,90.9
SAC,Dennis Schroder,Russell Westbrook,Zach LaVine,DeMar DeRozan,Domantas Sabonis,175,7,105.1,17,88.7,28,24.3%,41,78.2%,66,29.5,45,17.7,90,164.3
MIN,Anthony Edwards,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,173,97,132.4,97,117.1,41,26.3%,83,74.5%,48,23.7,48,18.3,55,127.3
ATL,Nickeil Alexander-Walker,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Kristaps Porzingis,166,79,124.1,76,109.4,55,29.6%,79,75.1%,41,22.4,52,18.6,45,118.2
CHI,Josh Giddey,Tre Jones,Isaac Okoro,Matas Buzelis,Nikola Vucevic,160,3,102.5,7,86.9,17,22.2%,38,78.7%,24,17.5,28,15.3,31,111.1
WAS,Carlton Carrington,CJ McCollum,Kyshawn George,Khris Middleton,Alexandre Sarr,155,31,114.8,41,100.8,52,28.8%,69,76.3%,7,10.7,31,15.8,7,66.7
ORL,Desmond Bane,Anthony Black,Franz Wagner,Paolo Banchero,Wendell Carter,152,55,119.1,31,93.6,93,40.4%,48,77.3%,72,30.9,90,28.6,28,106.3
PHX,Devin Booker,Grayson Allen,Royce O'Neale,Ryan Dunn,Mark Williams,151,38,115.2,69,106.6,0,16.0%,97,73.1%,31,19.6,24,15.1,52,125.0
MIA,Davion Mitchell,Norman Powell,Pelle Larsson,Andrew Wiggins,Kel'el Ware,144,62,120.1,83,110.0,31,24.5%,17,81.8%,7,10.7,17,14.0,14,75.0
DEN,Jamal Murray,Bruce Brown,Tim Hardaway Jr.,Peyton Watson,Jonas Valanciunas,137,14,108.0,21,92.2,45,27.3%,0,86.6%,90,35.7,76,23.3,69,142.9
GSW,Stephen Curry,Brandin Podziemski,Jimmy Butler,Jonathan Kuminga,Draymond Green,137,72,123.4,90,111.6,10,21.2%,3,83.8%,3,7.3,0,10.7,7,66.7
MIN,Mike Conley,Donte DiVincenzo,Jaden McDaniels,Julius Randle,Rudy Gobert,137,90,129.2,100,117.6,14,22.0%,7,82.8%,0,4.8,10,11.9,0,40.0
LAC,James Harden,Bradley Beal,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac,130,59,120.0,62,104.5,21,23.1%,28,79.1%,52,25.0,38,17.1,69,142.9
DET,Cade Cunningham,Ausar Thompson,Duncan Robinson,Tobias Harris,Jalen Duren,128,10,107.8,0,83.5,97,42.9%,31,79.1%,97,42.4,97,31.1,59,131.6
NYK,Jalen Brunson,Landry Shamet,Mikal Bridges,OG Anunoby,Karl-Anthony Towns,113,34,115.0,72,106.8,90,38.1%,72,75.7%,34,21.3,93,30.8,3,62.5
BKN,Ben Saraf,Cameron Thomas,Terance Mann,Michael Porter,Nicolas Claxton,111,28,114.4,34,98.0,24,23.3%,21,81.7%,28,18.6,3,11.6,83,160.0
PHX,Devin Booker,Grayson Allen,Dillon Brooks,Royce O'Neale,Mark Williams,110,93,131.8,79,109.5,86,35.3%,86,74.2%,93,40.0,72,22.9,97,175.0
MIA,Dru Smith,Andrew Wiggins,Jaime Jaquez Jr.,Nikola Jovic,Simone Fontecchio,107,21,110.3,28,92.9,69,32.4%,100,67.2%,62,28.9,59,20.5,66,137.5
CHA,LaMelo Ball,Collin Sexton,Kon Knueppel,Miles Bridges,Ryan Kalkbrenner,103,48,117.5,55,103.6,3,16.2%,45,77.6%,38,21.6,14,13.2,83,160.0
OKC,Shai Gilgeous-Alexander,Ajay Mitchell,Cason Wallace,Chet Holmgren,Isaiah Hartenstein,101,83,125.7,93,115.2,79,34.6%,10,82.1%,21,17.2,41,17.2,24,100.0
UTA,Keyonte George,Sviatoslav Mykhailiuk,Lauri Markkanen,Kyle Filipowski,Walker Kessler,101,100,139.6,45,103.1,100,52.9%,55,77.2%,100,75.0,100,43.6,79,158.8
LAL,Luka Doncic,Austin Reaves,Marcus Smart,Rui Hachimura,Deandre Ayton,101,17,109.9,3,86.5,48,27.9%,14,82.1%,83,33.3,55,20.0,93,166.7